Mfr Name,Carline,Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Air Aspiration Method Desc,Trans Desc,# Gears,Drive Desc,Annual Fuel Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class Desc,Release Date,Stop/Start System (Engine Management System)  Description,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted
Ford Motor Company,MUSTANG CONVERTIBLE,2.3,4,Auto(S10),20,28,Turbocharged,Semi-Automatic,10,"2-Wheel Drive, Rear",1900,2,2,Subcompact Cars,12/5/22,No,448,316
Ford Motor Company,MUSTANG CONVERTIBLE,2.3,4,Manual(M6),20,27,Turbocharged,Manual,6,"2-Wheel Drive, Rear",1900,2,2,Subcompact Cars,12/5/22,No,445,468
Ford Motor Company,MUSTANG CONVERTIBLE,5,8,Auto(S10),15,23,Naturally Aspirated,Semi-Automatic,10,"2-Wheel Drive, Rear",2450,2,2,Subcompact Cars,12/5/22,No,590,383
Ford Motor Company,MUSTANG HO CONVERTIBLE,2.3,4,Auto(S10),19,26,Turbocharged,Semi-Automatic,10,"2-Wheel Drive, Rear",2000,2,2,Subcompact Cars,12/5/22,No,468,500
Ford Motor Company,MUSTANG HO CONVERTIBLE,2.3,4,Manual(M6),19,25,Turbocharged,Manual,6,"2-Wheel Drive, Rear",2100,2,2,Subcompact Cars,12/5/22,No,466,477
Ford Motor Company,MUSTANG HO COUPE,2.3,4,Auto(S10),20,27,Turbocharged,Semi-Automatic,10,"2-Wheel Drive, Rear",1900,2,2,Subcompact Cars,12/5/22,No,444,481
Ford Motor Company,MUSTANG HO COUPE,2.3,4,Manual(M6),20,27,Turbocharged,Manual,6,"2-Wheel Drive, Rear",2000,2,2,Subcompact Cars,12/5/22,No,450,330
Ford Motor Company,MUSTANG MACH 1,5,8,Auto(S10),15,23,Naturally Aspirated,Semi-Automatic,10,"2-Wheel Drive, Rear",2450,2,2,Subcompact Cars,12/2/22,No,575,609
Ford Motor Company,MUSTANG MACH 1,5,8,Manual(M6),14,22,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",2600,2,2,Subcompact Cars,12/5/22,No,627,396
Toyota,LC 500,5,8,Auto(S10),16,25,Naturally Aspirated,Semi-Automatic,10,"2-Wheel Drive, Rear",2900,2,2,Subcompact Cars,10/19/22,No,567,360
Toyota,LC 500h,3.5,6,Auto(AV-S10),26,33,Naturally Aspirated,Selectable Continuously Variable,10,"2-Wheel Drive, Rear",1900,2,2,Subcompact Cars,10/19/22,Yes,336,264
Toyota,RC 300,2,4,Auto(S8),21,31,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2200,2,2,Subcompact Cars,10/19/22,No,413,283
Toyota,RC 300 AWD,3.5,6,Auto(S6),19,26,Naturally Aspirated,Semi-Automatic,6,All Wheel Drive,2500,2,2,Subcompact Cars,10/19/22,No,461,340
Toyota,RC 350,3.5,6,Auto(S8),20,28,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",2400,2,2,Subcompact Cars,10/19/22,No,441,317
Toyota,RC 350 AWD,3.5,6,Auto(S6),19,26,Naturally Aspirated,Semi-Automatic,6,All Wheel Drive,2500,2,2,Subcompact Cars,10/19/22,No,461,340
Toyota,RC F,5,8,Auto(S8),16,24,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",2900,2,2,Subcompact Cars,1/23/23,No,538,361
Mercedes-Benz,AMG C 43 4MATIC (convertible),3,6,Auto(A9),18,28,Turbocharged,Automatic,9,All Wheel Drive,2500,2,2,Subcompact Cars,11/16/22,Yes,485,322
Mercedes-Benz,AMG C 43 4MATIC (coupe),3,6,Auto(A9),18,27,Turbocharged,Automatic,9,All Wheel Drive,2600,2,2,Subcompact Cars,10/26/22,Yes,484,326
Mercedes-Benz,AMG E 53 4MATIC+ (Convertible),3,6,Auto(A9),20,27,Other,Automatic,9,All Wheel Drive,2400,2,2,Subcompact Cars,11/8/22,Yes,437,328
Mercedes-Benz,AMG E 53 4MATIC+ (Coupe),3,6,Auto(A9),20,28,Other,Automatic,9,All Wheel Drive,2400,2,2,Subcompact Cars,11/8/22,Yes,433,321
Mercedes-Benz,C 300 (convertible),2,4,Auto(A9),21,29,Turbocharged,Automatic,9,"2-Wheel Drive, Rear",2300,2,2,Subcompact Cars,9/27/22,Yes,423,305
Mercedes-Benz,C 300 (Coupe),2,4,Auto(A9),22,31,Turbocharged,Automatic,9,"2-Wheel Drive, Rear",2200,2,2,Subcompact Cars,9/27/22,Yes,403,287
Mercedes-Benz,C 300 4MATIC (convertible),2,4,Auto(A9),21,30,Turbocharged,Automatic,9,All Wheel Drive,2200,2,2,Subcompact Cars,9/27/22,Yes,411,294
Mercedes-Benz,C 300 4MATIC (Coupe),2,4,Auto(A9),22,31,Turbocharged,Automatic,9,All Wheel Drive,2200,2,2,Subcompact Cars,9/27/22,Yes,403,287
Mercedes-Benz,E 450 (convertible),3,6,Auto(A9),22,29,Turbocharged,Automatic,9,"2-Wheel Drive, Rear",2200,2,2,Subcompact Cars,11/11/22,Yes,402,307
Mercedes-Benz,E 450 (coupe),3,6,Auto(A9),23,30,Turbocharged,Automatic,9,"2-Wheel Drive, Rear",2200,2,2,Subcompact Cars,10/20/22,Yes,395,299
Mercedes-Benz,E 450 4MATIC (convertible),3,6,Auto(A9),22,29,Turbocharged,Automatic,9,All Wheel Drive,2300,2,2,Subcompact Cars,10/20/22,Yes,410,304
Mercedes-Benz,E 450 4MATIC (coupe),3,6,Auto(A9),21,30,Turbocharged,Automatic,9,All Wheel Drive,2300,2,2,Subcompact Cars,10/20/22,Yes,412,300
BMW,COOPER HARDTOP 2 DOOR,1.5,3,Auto(AM-S7),29,38,Turbocharged,Automated Manual- Selectable,7,"2-Wheel Drive, Front",1700,2,2,Subcompact Cars,4/1/22,Yes,307,232
BMW,COOPER HARDTOP 2 DOOR,1.5,3,Manual(M6),27,37,Turbocharged,Manual,6,"2-Wheel Drive, Front",1750,2,2,Subcompact Cars,4/1/22,Yes,323,236
BMW,COOPER HARDTOP 4 DOOR,1.5,3,Auto(AM-S7),29,38,Turbocharged,Automated Manual- Selectable,7,"2-Wheel Drive, Front",1700,2,2,Subcompact Cars,4/1/22,Yes,307,232
BMW,COOPER HARDTOP 4 DOOR,1.5,3,Manual(M6),27,37,Turbocharged,Manual,6,"2-Wheel Drive, Front",1750,2,2,Subcompact Cars,4/1/22,Yes,323,236
BMW,COOPER S HARDTOP 2 DOOR,2,4,Auto(AM-S7),28,38,Turbocharged,Automated Manual- Selectable,7,"2-Wheel Drive, Front",1750,2,2,Subcompact Cars,4/4/22,No,319,234
BMW,COOPER S HARDTOP 2 DOOR,2,4,Manual(M6),23,33,Turbocharged,Manual,6,"2-Wheel Drive, Front",2050,2,2,Subcompact Cars,4/4/22,No,385,264
BMW,COOPER S HARDTOP 4 DOOR,2,4,Auto(AM-S7),28,38,Turbocharged,Automated Manual- Selectable,7,"2-Wheel Drive, Front",1750,2,2,Subcompact Cars,4/4/22,No,319,234
BMW,COOPER S HARDTOP 4 DOOR,2,4,Manual(M6),23,33,Turbocharged,Manual,6,"2-Wheel Drive, Front",2050,2,2,Subcompact Cars,4/4/22,No,385,264
BMW,JOHN COOPER WORKS HARDTOP 2 DOOR,2,4,Auto(S8),25,34,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Front",1900,2,2,Subcompact Cars,4/5/22,No,347,258
BMW,JOHN COOPER WORKS HARDTOP 2 DOOR,2,4,Manual(M6),22,31,Turbocharged,Manual,6,"2-Wheel Drive, Front",2200,2,2,Subcompact Cars,4/4/22,No,402,283
Nissan,GT-R,3.8,6,Auto(AM-S6),16,22,Turbocharged,Automated Manual- Selectable,6,All Wheel Drive,3050,2,2,Subcompact Cars,12/6/22,No,537,408
Toyota,GR COROLLA,1.6,3,Manual(M6),21,28,Turbocharged,Manual,6,All Wheel Drive,2300,2,2,Subcompact Cars,11/13/22,No,415,311
Honda,TLX AWD,2,4,Auto(S10),21,29,Turbocharged,Semi-Automatic,10,All Wheel Drive,2300,2,2,Compact Cars,11/1/22,Yes,424,303
Honda,TLX AWD A-SPEC,2,4,Auto(S10),21,29,Turbocharged,Semi-Automatic,10,All Wheel Drive,2300,2,2,Compact Cars,11/1/22,Yes,425,305
Honda,TLX FWD,2,4,Auto(S10),22,31,Turbocharged,Semi-Automatic,10,"2-Wheel Drive, Front",2200,2,2,Compact Cars,11/1/22,Yes,404,289
Honda,TLX FWD A-SPEC,2,4,Auto(S10),22,30,Turbocharged,Semi-Automatic,10,"2-Wheel Drive, Front",2200,2,2,Compact Cars,11/1/22,Yes,408,295
Honda,TLX Type-S,3,6,Auto(S10),19,25,Turbocharged,Semi-Automatic,10,All Wheel Drive,2600,2,2,Compact Cars,11/1/22,Yes,464,353
Honda,TLX Type-S Perf Tire,3,6,Auto(S10),19,24,Turbocharged,Semi-Automatic,10,All Wheel Drive,2600,2,2,Compact Cars,11/1/22,Yes,463,368
Volkswagen Group of,A4 quattro,2,4,Auto(AM-S7),24,33,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,1950,2,2,Compact Cars,7/29/22,Yes,368,266
Volkswagen Group of,A4 S-Line quattro,2,4,Auto(AM-S7),24,32,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,2050,2,2,Compact Cars,7/29/22,Yes,364,280
Volkswagen Group of,S4,3,6,Auto(S8),21,30,Turbocharged,Semi-Automatic,8,4-Wheel Drive,2300,2,2,Compact Cars,6/30/22,Yes,416,299
BMW,228i Gran Coupe,2,4,Auto(S8),24,34,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Front",1950,2,2,Compact Cars,7/1/22,Yes,361,259
BMW,228i xDrive Gran Coupe,2,4,Auto(S8),23,33,Turbocharged,Semi-Automatic,8,All Wheel Drive,2050,2,2,Compact Cars,7/1/22,Yes,381,267
BMW,330i Sedan,2,4,Auto(S8),25,34,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",1900,2,2,Compact Cars,8/15/22,Yes,348,258
BMW,330i xDrive Sedan,2,4,Auto(S8),24,33,Turbocharged,Semi-Automatic,8,All Wheel Drive,2050,2,2,Compact Cars,7/13/22,Yes,369,265
BMW,430i Gran Coupe,2,4,Auto(S8),25,34,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",1950,2,2,Compact Cars,7/13/22,Yes,356,261
BMW,430i xDrive Gran Coupe,2,4,Auto(S8),23,33,Turbocharged,Semi-Automatic,8,All Wheel Drive,2050,2,2,Compact Cars,4/6/22,Yes,380,268
BMW,M235i xDrive Gran Coupe,2,4,Auto(S8),24,33,Turbocharged,Semi-Automatic,8,All Wheel Drive,2050,2,2,Compact Cars,8/24/22,Yes,369,270
BMW,M3 Competition M xDrive Sedan,3,6,Auto(S8),16,22,Turbocharged,Semi-Automatic,8,All Wheel Drive,3050,2,2,Compact Cars,7/1/22,Yes,546,392
BMW,M3 Competition Sedan,3,6,Auto(S8),16,23,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2900,2,2,Compact Cars,7/1/22,Yes,541,383
BMW,M3 Sedan,3,6,Manual(M6),16,23,Turbocharged,Manual,6,"2-Wheel Drive, Rear",2900,2,2,Compact Cars,7/1/22,Yes,548,379
BMW,M340i Sedan,3,6,Auto(S8),23,31,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2100,2,2,Compact Cars,7/13/22,Yes,386,283
BMW,M340i xDrive Sedan,3,6,Auto(S8),23,32,Turbocharged,Semi-Automatic,8,All Wheel Drive,2100,2,2,Compact Cars,7/1/22,Yes,388,279
BMW,M440i Gran Coupe,3,6,Auto(S8),24,32,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2050,2,2,Compact Cars,7/1/22,Yes,367,274
BMW,M440i xDrive Gran Coupe,3,6,Auto(S8),22,31,Turbocharged,Semi-Automatic,8,All Wheel Drive,2200,2,2,Compact Cars,7/1/22,Yes,397,288
General Motors,CT4,2,4,Auto(S8),23,34,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2050,2,2,Compact Cars,6/30/22,Yes,387,263
General Motors,CT4,2.7,4,Auto(S10),21,31,Turbocharged,Semi-Automatic,10,"2-Wheel Drive, Rear",2200,2,2,Compact Cars,6/30/22,Yes,412,287
General Motors,CT4 AWD,2,4,Auto(S8),22,31,Turbocharged,Semi-Automatic,8,All Wheel Drive,2100,2,2,Compact Cars,6/30/22,Yes,397,287
General Motors,CT4 AWD,2.7,4,Auto(S10),21,29,Turbocharged,Semi-Automatic,10,All Wheel Drive,2300,2,2,Compact Cars,6/30/22,Yes,425,305
General Motors,CT4 V,2.7,4,Auto(S10),20,29,Turbocharged,Semi-Automatic,10,"2-Wheel Drive, Rear",2400,2,2,Compact Cars,6/30/22,Yes,448,308
General Motors,CT4 V,3.6,6,Auto(S10),16,24,Turbocharged,Semi-Automatic,10,"2-Wheel Drive, Rear",2900,2,2,Compact Cars,6/30/22,No,568,368
General Motors,CT4 V,3.6,6,Manual(M6),15,23,Turbocharged,Manual,6,"2-Wheel Drive, Rear",3050,2,2,Compact Cars,6/30/22,No,572,386
General Motors,CT4 V AWD,2.7,4,Auto(S10),20,28,Turbocharged,Semi-Automatic,10,All Wheel Drive,2400,2,2,Compact Cars,6/30/22,Yes,445,318
Hyundai,G70 AWD,2,4,Auto(S8),20,28,Turbocharged,Semi-Automatic,8,All Wheel Drive,2400,2,2,Compact Cars,3/1/22,No,451,324
Hyundai,G70 AWD,3.3,6,Auto(S8),17,26,Turbocharged,Semi-Automatic,8,All Wheel Drive,2750,2,2,Compact Cars,3/1/22,No,513,348
Hyundai,G70 RWD,2,4,Auto(S8),21,31,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2200,2,2,Compact Cars,3/1/22,No,423,286
Hyundai,G70 RWD,3.3,6,Auto(S8),18,27,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2600,2,2,Compact Cars,3/1/22,No,510,338
Kia,Rio,1.6,4,Auto(AV-S1),32,41,Naturally Aspirated,Selectable Continuously Variable,1,"2-Wheel Drive, Front",1250,2,2,Compact Cars,8/1/22,No,275,220
Toyota,IS 300,2,4,Auto(S8),21,31,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2200,2,2,Compact Cars,9/17/22,No,413,283
Toyota,IS 300 AWD,3.5,6,Auto(S6),19,26,Naturally Aspirated,Semi-Automatic,6,All Wheel Drive,2500,2,2,Compact Cars,9/17/22,No,461,340
Toyota,IS 350,3.5,6,Auto(S8),20,28,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",2400,2,2,Compact Cars,9/17/22,No,441,317
Toyota,IS 350 AWD,3.5,6,Auto(S6),19,26,Naturally Aspirated,Semi-Automatic,6,All Wheel Drive,2500,2,2,Compact Cars,9/17/22,No,461,340
Toyota,IS 500,5,8,Auto(S8),17,25,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",2750,2,2,Compact Cars,9/17/22,No,534,350
Toyota,UX 250h,2,4,Auto(AV-S6),43,41,Naturally Aspirated,Selectable Continuously Variable,6,"2-Wheel Drive, Front",1050,2,2,Compact Cars,7/17/22,Yes,204,215
Toyota,UX 250h,2,4,Auto(AV-S6),43,41,Naturally Aspirated,Selectable Continuously Variable,6,"2-Wheel Drive, Front",1050,2,2,Compact Cars,7/17/22,Yes,204,215
Toyota,UX 250h AWD,2,4,Auto(AV-S6),41,38,Naturally Aspirated,Selectable Continuously Variable,6,All Wheel Drive,1150,2,2,Compact Cars,7/17/22,Yes,213,231
Toyota,UX 250h AWD,2,4,Auto(AV-S6),41,38,Naturally Aspirated,Selectable Continuously Variable,6,All Wheel Drive,1150,2,2,Compact Cars,7/17/22,Yes,213,231
MAZDA,MAZDA3 4-Door 2WD,2,4,Auto(S6),28,36,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",1450,2,2,Compact Cars,12/12/22,No,317,250
MAZDA,MAZDA3 4-Door 2WD,2.5,4,Auto(S6),28,37,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",1450,2,2,Compact Cars,12/12/22,No,323,242
MAZDA,MAZDA3 4-Door 4WD,2.5,4,Auto(S6),26,35,Naturally Aspirated,Semi-Automatic,6,4-Wheel Drive,1500,2,2,Compact Cars,12/12/22,No,338,255
MAZDA,MAZDA3 4-Door 4WD,2.5,4,Auto(S6),23,32,Turbocharged,Semi-Automatic,6,4-Wheel Drive,1650,2,2,Compact Cars,12/12/22,No,382,274
Mercedes-Benz,AMG CLA 35 4MATIC,2,4,Auto(AM7),21,29,Turbocharged,Automated Manual,7,All Wheel Drive,2300,2,2,Compact Cars,12/2/22,Yes,428,305
Mercedes-Benz,AMG CLA 45 4MATIC,2,4,Auto(AM8),20,28,Turbocharged,Automated Manual,8,All Wheel Drive,2400,2,2,Compact Cars,11/16/22,Yes,451,312
Mercedes-Benz,AMG GT 43 4MATIC+,3,6,Auto(A9),19,24,Other,Automatic,9,All Wheel Drive,2600,2,2,Compact Cars,11/7/22,Yes,464,369
Mercedes-Benz,AMG GT 53 4MATIC+,3,6,Auto(A9),19,24,Other,Automatic,9,All Wheel Drive,2600,2,2,Compact Cars,11/7/22,Yes,464,369
Mercedes-Benz,AMG GT 63 4MATIC+,4,8,Auto(A9),15,21,Turbocharged,Automatic,9,All Wheel Drive,3200,2,2,Compact Cars,12/22/22,Yes,611,431
Mercedes-Benz,AMG GT 63 S 4MATIC+,4,8,Auto(A9),15,21,Turbocharged,Automatic,9,All Wheel Drive,3200,2,2,Compact Cars,12/22/22,Yes,611,431
Mercedes-Benz,C 300,2,4,Auto(A9),25,36,Turbocharged,Automatic,9,"2-Wheel Drive, Rear",1900,2,2,Compact Cars,10/21/22,Yes,356,250
Mercedes-Benz,C 300 4MATIC,2,4,Auto(A9),24,33,Turbocharged,Automatic,9,All Wheel Drive,2050,2,2,Compact Cars,10/21/22,Yes,369,266
Mercedes-Benz,CLA 250,2,4,Auto(AM7),25,36,Turbocharged,Automated Manual,7,"2-Wheel Drive, Front",1900,2,2,Compact Cars,8/2/22,Yes,358,248
Mercedes-Benz,CLA 250 4MATIC,2,4,Auto(AM7),24,33,Turbocharged,Automated Manual,7,All Wheel Drive,2050,2,2,Compact Cars,8/2/22,Yes,369,265
Mercedes-Benz,CLS 450 4MATIC,3,6,Auto(A9),22,30,Turbocharged,Automatic,9,All Wheel Drive,2200,2,2,Compact Cars,10/20/22,Yes,404,300
Mitsubishi Motors Co,MIRAGE,1.2,3,Auto(AV),36,43,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",1150,2,2,Compact Cars,7/1/22,No,243,203
Mitsubishi Motors Co,MIRAGE,1.2,3,Manual(M5),33,41,Naturally Aspirated,Manual,5,"2-Wheel Drive, Front",1250,2,2,Compact Cars,7/1/22,No,264,216
Mitsubishi Motors Co,MIRAGE G4,1.2,3,Auto(AV),35,41,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",1200,2,2,Compact Cars,7/1/22,No,254,213
Mitsubishi Motors Co,MIRAGE G4,1.2,3,Manual(M5),33,40,Naturally Aspirated,Manual,5,"2-Wheel Drive, Front",1250,2,2,Compact Cars,7/1/22,No,266,221
Nissan,VERSA,1.6,4,Auto(AV),32,40,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",1250,2,2,Compact Cars,12/2/22,No,280,222
Nissan,VERSA,1.6,4,Manual(M5),27,35,Naturally Aspirated,Manual,5,"2-Wheel Drive, Front",1500,2,2,Compact Cars,12/2/22,No,328,254
Toyota,COROLLA,2,4,Auto(AV-S10),31,40,Naturally Aspirated,Selectable Continuously Variable,10,"2-Wheel Drive, Front",1300,2,2,Compact Cars,9/17/22,No,286,223
Toyota,COROLLA,2,4,Auto(AV-S10),32,41,Naturally Aspirated,Selectable Continuously Variable,10,"2-Wheel Drive, Front",1250,2,2,Compact Cars,9/17/22,No,277,216
Toyota,COROLLA HATCHBACK,2,4,Auto(AV-S10),32,41,Naturally Aspirated,Selectable Continuously Variable,10,"2-Wheel Drive, Front",1250,2,2,Compact Cars,9/17/22,No,280,217
Toyota,COROLLA HATCHBACK XSE,2,4,Auto(AV-S10),30,38,Naturally Aspirated,Selectable Continuously Variable,10,"2-Wheel Drive, Front",1350,2,2,Compact Cars,9/17/22,No,295,230
Toyota,COROLLA HYBRID,1.8,4,Auto(AV),50,43,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",950,2,2,Compact Cars,9/17/22,Yes,173,204
Toyota,COROLLA HYBRID,1.8,4,Auto(AV),53,46,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",900,2,2,Compact Cars,9/17/22,Yes,165,191
Toyota,COROLLA HYBRID AWD,1.8,4,Auto(AV),47,41,Naturally Aspirated,Continuously Variable,1,All Wheel Drive,1000,2,2,Compact Cars,9/17/22,Yes,186,214
Toyota,COROLLA HYBRID AWD,1.8,4,Auto(AV),51,44,Naturally Aspirated,Continuously Variable,1,All Wheel Drive,900,2,2,Compact Cars,9/17/22,Yes,172,200
Volkswagen Group of,GLI,2,4,Auto(AM-S7),26,36,Turbocharged,Automated Manual- Selectable,7,"2-Wheel Drive, Front",1500,2,2,Compact Cars,7/29/22,Yes,338,247
Volkswagen Group of,GLI,2,4,Manual(M6),26,37,Turbocharged,Manual,6,"2-Wheel Drive, Front",1500,2,2,Compact Cars,7/29/22,No,344,243
Volkswagen Group of,Golf-R,2,4,Auto(AM-S7),23,30,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,2100,2,2,Compact Cars,6/10/22,Yes,387,289
Volkswagen Group of,Golf-R,2,4,Manual(M6),20,28,Turbocharged,Manual,6,All Wheel Drive,2400,2,2,Compact Cars,6/10/22,No,442,309
Volkswagen Group of,GTI,2,4,Auto(AM-S7),24,34,Turbocharged,Automated Manual- Selectable,7,"2-Wheel Drive, Front",1600,2,2,Compact Cars,6/10/22,Yes,366,261
Volkswagen Group of,GTI,2,4,Manual(M6),23,32,Turbocharged,Manual,6,"2-Wheel Drive, Front",1650,2,2,Compact Cars,6/10/22,No,377,272
Volkswagen Group of,Jetta,1.5,4,Auto(S8),31,41,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Front",1250,2,2,Compact Cars,6/30/22,Yes,290,215
Volkswagen Group of,Jetta,1.5,4,Manual(M6),29,42,Turbocharged,Manual,6,"2-Wheel Drive, Front",1300,2,2,Compact Cars,6/30/22,No,309,212
Volkswagen Group of,Jetta Sport/SE/SEL,1.5,4,Auto(S8),29,40,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Front",1350,2,2,Compact Cars,6/30/22,Yes,307,221
Volvo,S60 B5,2,4,Auto(S8),26,35,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Front",1800,2,2,Compact Cars,7/1/22,Yes,338,251
Volvo,S60 B5 AWD,2,4,Auto(S8),25,33,Turbocharged,Semi-Automatic,8,All Wheel Drive,1950,2,2,Compact Cars,7/1/22,Yes,357,267
FCA US LLC,Giulia,2,4,Auto(A8),24,33,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",2050,2,2,Midsize Cars,6/22/22,Yes,377,273
FCA US LLC,Giulia,2.9,6,Auto(A8),17,25,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",2750,2,2,Midsize Cars,6/22/22,Yes,507,349
FCA US LLC,Giulia AWD,2,4,Auto(A8),23,31,Turbocharged,Automatic,8,All Wheel Drive,2100,2,2,Midsize Cars,6/22/22,Yes,395,291
Volkswagen Group of,A5 Sportback quattro,2,4,Auto(AM-S7),24,33,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,1950,2,2,Midsize Cars,7/29/22,Yes,368,266
Volkswagen Group of,A5 Sportback S-Line quattro,2,4,Auto(AM-S7),24,32,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,2050,2,2,Midsize Cars,7/29/22,Yes,364,280
Volkswagen Group of,A6 quattro,2,4,Auto(AM-S7),24,31,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,2050,2,2,Midsize Cars,7/29/22,Yes,376,282
Volkswagen Group of,A6 quattro,3,6,Auto(AM-S7),21,30,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,2300,2,2,Midsize Cars,7/29/22,Yes,415,294
Volkswagen Group of,A7,3,6,Auto(AM-S7),21,30,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,2300,2,2,Midsize Cars,7/29/22,Yes,415,294
Volkswagen Group of,RS 7,4,8,Auto(S8),14,21,Turbocharged,Semi-Automatic,8,All Wheel Drive,3200,2,2,Midsize Cars,7/8/22,Yes,619,427
Volkswagen Group of,RS5 Sportback,2.9,6,Auto(S8),18,25,Turbocharged,Semi-Automatic,8,4-Wheel Drive,2600,2,2,Midsize Cars,6/30/22,No,497,349
Volkswagen Group of,S5 Sportback,3,6,Auto(S8),21,30,Turbocharged,Semi-Automatic,8,4-Wheel Drive,2300,2,2,Midsize Cars,6/30/22,Yes,416,299
Volkswagen Group of,S6,2.9,6,Auto(S8),19,26,Turbocharged,Semi-Automatic,8,All Wheel Drive,2500,2,2,Midsize Cars,7/29/22,Yes,464,339
Volkswagen Group of,S7,2.9,6,Auto(S8),19,26,Turbocharged,Semi-Automatic,8,All Wheel Drive,2500,2,2,Midsize Cars,7/29/22,Yes,464,339
Volkswagen Group of,Flying Spur,4,8,Auto(AM-S8),15,22,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,3200,2,2,Midsize Cars,9/2/22,Yes,600,408
Volkswagen Group of,Flying Spur,6,12,Auto(AM-S8),12,19,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,3650,2,2,Midsize Cars,9/16/22,Yes,716,459
BMW,530i Sedan,2,4,Auto(S8),25,33,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",1950,2,2,Midsize Cars,7/1/22,Yes,353,264
BMW,530i xDrive Sedan,2,4,Auto(S8),23,32,Turbocharged,Semi-Automatic,8,All Wheel Drive,2100,2,2,Midsize Cars,7/1/22,Yes,376,279
BMW,540i Sedan,3,6,Auto(S8),25,32,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2050,2,2,Midsize Cars,7/1/22,Yes,357,278
BMW,540i xDrive Sedan,3,6,Auto(S8),22,29,Turbocharged,Semi-Automatic,8,All Wheel Drive,2200,2,2,Midsize Cars,7/1/22,Yes,393,303
BMW,840i Gran Coupe,3,6,Auto(S8),21,29,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2300,2,2,Midsize Cars,4/4/22,Yes,427,310
BMW,840i xDrive Gran Coupe,3,6,Auto(S8),21,29,Turbocharged,Semi-Automatic,8,All Wheel Drive,2300,2,2,Midsize Cars,4/4/22,Yes,426,308
BMW,ALPINA B8 Gran Coupe,4.4,8,Auto(S8),17,24,Turbocharged,Semi-Automatic,8,All Wheel Drive,2900,2,2,Midsize Cars,4/1/22,Yes,526,372
BMW,M5 Competition Sedan,4.4,8,Auto(S8),15,21,Turbocharged,Semi-Automatic,8,All Wheel Drive,3200,2,2,Midsize Cars,7/1/22,Yes,608,417
BMW,M5 Sedan,4.4,8,Auto(S8),15,21,Turbocharged,Semi-Automatic,8,All Wheel Drive,3200,2,2,Midsize Cars,7/1/22,Yes,608,417
BMW,M550i xDrive Sedan,4.4,8,Auto(S8),17,25,Turbocharged,Semi-Automatic,8,All Wheel Drive,2750,2,2,Midsize Cars,7/1/22,Yes,520,355
BMW,M8 Competition Gran Coupe,4.4,8,Auto(S8),15,22,Turbocharged,Semi-Automatic,8,All Wheel Drive,3200,2,2,Midsize Cars,4/1/22,Yes,603,411
