Mfr Name,Carline,Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Air Aspiration Method Desc,Trans Desc,# Gears,Drive Desc,Annual Fuel Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class Desc,Release Date,Stop/Start System (Engine Management System)  Description,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted
Porsche,911 GT3,4,6,Manual(M6),14,18,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",3400,2,2,Two Seaters,11/7/22,No,637,490
Porsche,911 GT3 Touring,4,6,Auto(AM-S7),15,18,Naturally Aspirated,Automated Manual- Selectable,7,"2-Wheel Drive, Rear",3400,2,2,Two Seaters,11/7/22,Yes,589,477
Porsche,911 GT3 Touring,4,6,Manual(M6),14,18,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",3400,2,2,Two Seaters,11/7/22,No,635,490
BMW,Supra 2.0,2,4,Auto(S8),25,31,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2050,2,2,Two Seaters,7/13/22,Yes,350,288
BMW,Supra 3.0,3,6,Auto(S8),23,31,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2100,2,2,Two Seaters,7/13/22,Yes,385,289
BMW,Supra 3.0,3,6,Manual(M6),19,27,Turbocharged,Manual,6,"2-Wheel Drive, Rear",2600,2,2,Two Seaters,7/13/22,No,476,331
aston martin,DB11 V12,5.2,12,Auto(A8),14,22,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",3200,2,2,Minicompact Cars,6/29/22,No,618,404
aston martin,DB11 V8,4,8,Auto(A8),18,24,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",2750,2,2,Minicompact Cars,4/29/22,No,486,365
aston martin,DBS,5.2,12,Auto(A8),14,22,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",3200,2,2,Minicompact Cars,6/29/22,No,618,404
Volkswagen Group of,Continental GT Convertible,4,8,Auto(AM-S8),15,22,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,3050,2,2,Minicompact Cars,9/2/22,Yes,599,396
